Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
4199,20000,119700,0.24,1032,0,144,1,0,0,2,2,1,7.3,0,0,0,120657
4200,22200,103300,0.19,992,400,144,1,1,0,3,2,1,22.6,0,0,0,119640
4201,20900,138600,0.16,1217,676,160,3,0,1,4,2,1,11.6,484,0,0,145392
4202,22600,136500,0.23,1346,0,32,3,0,0,3,2,1,6.3,420,0,0,142681
4203,18500,138200,0.15,1150,420,96,2,1,1,3,2,1,5.6,120,0,0,148243
4204,21300,134200,0.18,1150,420,96,2,1,1,3,2,1,5.7,140,0,0,145188
4205,21100,114200,0.17,1101,0,96,1,0,0,2,2,1,5.6,392,0,0,132088
4206,17500,153800,0.14,1387,0,168,2,0,0,3,2,1,2.5,418,0,0,161833
4207,22300,99400,0.19,857,600,128,2,0,0,3,2,1,17.6,0,0,1,78398
4208,20300,89100,0.15,857,600,0,1,0,0,2,2,1,17.7,0,0,1,96928
4209,20500,100100,0.16,857,670,0,2,0,0,2,2,1,17.4,0,0,1,123530
4210,24700,137400,0.23,1270,0,0,2,0,0,3,2,1,1.3,420,0,0,151300
4211,24700,126000,0.23,1096,0,120,2,0,0,3,2,1,1.5,728,0,0,150144
4212,14300,99700,0.26,968,0,120,1,1,0,3,2,1,31.2,0,0,1,124890
4213,33300,94800,0.47,1458,0,454,1,0,0,3,4,1,85.7,0,0,1,136365
4214,13100,69000,0.17,912,288,80,1,0,0,3,3,0,42.5,0,0,1,75650
4215,14300,113500,0.25,1720,0,0,1,0,0,4,4,1,114.7,0,0,1,101680
4216,11200,124200,0.14,1094,0,155,2,0,0,3,2,1,4.7,0,0,0,128762
4217,8000,57500,0.1,844,0,0,1,0,0,2,3,1,54.5,0,0,1,56498
4218,12300,38900,0.15,672,0,0,1,0,0,1,4,0,124.4,0,1,0,14364
4219,9600,59600,0.12,1103,0,0,1,0,0,3,3,1,101.5,0,0,1,76512
4220,6700,199800,0.13,2376,0,0,3,1,0,4,2,1,3.4,0,0,0,191519
4221,6500,48400,0.21,1542,0,0,1,0,1,4,3,0,67.3,0,0,1,69138
4222,15700,71500,0.12,1152,0,0,1,0,0,3,3,0,101.8,0,0,1,89326
4223,34800,25700,0.19,2538,0,192,2,1,1,3,3,0,121.5,0,1,0,81874
4224,4600,32900,0.11,842,0,0,1,0,0,2,3,0,79.4,0,0,0,32558
4225,5700,59200,0.13,1552,0,240,1,1,0,4,3,1,75.8,0,0,0,77814
4226,4000,27800,0.09,802,0,0,1,0,0,2,3,0,112.4,0,1,0,31601
4227,9500,22800,0.17,1100,0,0,1,1,0,4,4,1,122.7,0,1,0,75072
4228,16300,69300,0.17,778,0,0,1,0,0,2,2,0,46.5,0,0,0,67032
4229,22500,63300,0.49,1236,0,0,1,1,0,4,2,0,99.8,0,0,0,56145
4230,14900,71300,0.15,1000,0,96,2,0,0,3,2,1,63.7,0,0,1,67470
4231,6700,95000,0.15,1993,0,0,2,0,0,3,5,1,67.4,0,0,1,90971
4232,7100,45800,0.16,768,0,0,1,0,0,2,2,1,87.1,0,0,1,22000
