Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
818,18800,48400,0.18,812,0,120,1,0,0,3,2,0,65.4,360,0,0,63934
819,17200,49100,0.17,660,0,0,1,0,0,2,2,0,54.7,0,0,0,72734
820,22100,31000,0.3,432,0,0,1,0,0,1,2,0,58.5,0,0,0,33494
821,20400,67200,0.22,960,0,0,1,0,0,2,3,1,84.4,0,0,1,90652
822,17100,57800,0.14,858,0,0,1,0,0,2,3,1,83.4,0,0,0,74908
823,15600,63100,0.16,768,300,120,1,0,0,2,2,1,56.5,0,0,1,81940
824,29900,102300,0.27,1048,480,0,1,1,0,4,1,1,34.7,0,0,1,147849
825,20600,86900,0.18,864,0,0,1,0,0,3,2,1,39.3,0,0,1,122142
826,22100,133300,0.18,1281,0,384,1,2,1,3,3,1,35.1,0,0,1,130000
827,18200,98400,0.17,894,0,100,1,0,0,3,2,1,26.6,0,0,1,123740
828,18100,70800,0.16,768,0,178,1,0,0,3,2,0,39.5,0,0,0,87790
829,17600,81400,0.21,970,156,192,1,1,0,3,2,1,51.4,0,0,1,102103
830,17600,86600,0.21,864,432,144,2,0,0,2,3,1,51.5,0,0,1,113656
831,18900,80100,0.17,1048,300,0,1,0,0,3,2,1,67.7,0,0,1,98810
832,18000,60600,0.29,672,336,0,1,0,0,2,2,1,52.4,0,0,1,59449
833,18800,74000,0.16,778,0,48,1,0,0,3,2,1,36.4,0,0,1,100672
834,22400,72400,0.33,888,0,216,1,0,0,2,2,1,83.4,0,0,1,85881
835,19700,75000,0.21,900,0,0,1,0,0,3,2,1,36.2,0,0,1,124900
836,20000,68400,0.23,792,0,48,1,0,0,3,2,1,46.6,0,0,1,102666
837,16600,43700,0.14,1024,0,224,1,0,0,3,2,0,64.4,0,0,1,52483
838,13700,70700,0.12,720,0,60,1,0,0,2,2,0,68.4,0,0,1,87551
839,18300,84900,0.17,864,0,40,1,0,0,3,2,1,41.2,0,0,1,123400
840,18300,88000,0.17,864,200,0,1,0,0,3,2,1,41.6,312,0,1,109896
841,32200,173800,0.22,1786,728,120,3,1,1,3,3,1,10.4,735,0,0,196573
842,32600,222200,0.23,1928,0,0,2,1,1,3,3,1,7.3,516,0,0,209932
843,22600,129300,0.25,1871,0,0,2,0,1,3,4,1,51.6,576,0,0,144504
844,23200,96800,0.28,1564,350,0,1,2,1,3,2,1,50.3,0,0,1,158403
845,23400,165900,0.32,3036,0,0,1,2,1,4,3,1,51.3,468,0,1,184549
846,20600,74000,0.2,925,0,0,1,0,0,2,2,1,49.1,288,0,1,105000
847,16300,74200,0.2,960,0,0,1,0,0,3,2,1,48.6,0,0,0,73264
848,35400,95700,0.49,1280,0,0,1,1,1,3,2,1,50.4,330,0,0,109737
849,34000,105800,0.33,1016,500,0,1,1,1,3,2,1,39.3,528,0,1,127581
850,13100,42900,0.17,695,0,0,1,0,0,2,2,0,60.8,0,0,1,68731
851,18400,69300,0.17,1308,386,0,2,0,0,2,3,0,39.1,0,1,0,40000
852,24500,91900,0.17,938,0,0,1,0,0,2,2,1,60.9,280,0,1,120770
853,64600,185000,0.58,2326,0,66,2,1,1,4,4,0,91,0,0,1,304379
854,29900,254600,0.31,2195,0,100,2,1,1,3,4,1,2.5,624,0,0,240905
855,24700,94300,0.16,938,0,100,1,0,1,2,3,1,70.6,0,0,1,120983
856,18100,64800,0.16,796,300,0,1,0,0,2,2,1,56.1,0,0,1,102000
857,60600,125600,0.27,1129,500,333,2,0,1,2,3,1,78.9,0,0,1,195392
858,25200,94000,0.16,1496,0,0,1,0,0,3,3,1,82.6,0,0,1,149421
859,20400,86100,0.11,1075,0,288,1,0,0,3,3,0,96.9,0,0,0,109478
860,18800,50900,0.17,768,0,142,1,0,0,2,3,0,97.8,0,0,1,80022
861,22800,111100,0.23,1306,0,0,1,1,0,3,2,1,52,504,0,1,130000
862,16800,58200,0.16,768,0,0,1,0,0,2,2,1,79.6,0,0,1,86760
863,27700,114800,0.2,1091,0,0,1,2,0,2,2,1,18.6,0,0,0,139781
864,11000,74300,0.15,1236,0,0,1,0,1,2,4,0,88.8,0,0,0,86760
865,16000,98400,0.15,750,350,70,1,1,0,3,2,1,32.4,0,0,1,113554
866,8600,59700,0.11,768,0,0,1,0,0,3,2,1,77,0,0,1,73542
867,17000,55500,0.17,1160,0,0,1,0,0,3,3,0,117.2,0,1,0,26500
868,15400,72700,0.23,1463,0,0,1,0,0,5,3,1,72.5,0,0,1,99292
869,25800,104500,0.28,1092,250,100,2,0,0,3,2,1,18.6,0,0,0,137371
870,36100,139300,0.26,1610,0,119,1,1,1,3,3,1,75.3,0,0,1,166991
871,23200,35000,0.61,720,0,0,1,0,0,2,2,0,70.8,288,1,0,39177
872,16800,63300,0.18,1050,0,0,1,0,1,4,2,0,56.2,0,1,0,39000
873,16500,54600,0.17,616,0,0,1,0,0,2,2,1,66.4,0,0,1,62025
874,24500,111200,0.16,1386,0,0,1,1,0,3,3,1,68.1,214,0,1,162000
875,22100,58400,0.3,1288,0,0,1,0,0,3,3,0,92.8,0,1,0,24547
876,21500,47600,0.14,748,0,60,1,0,1,2,2,0,86.7,0,1,0,45308
877,26900,90600,0.16,1120,0,148,1,0,0,2,3,1,91.9,0,1,0,98187
878,18800,82400,0.19,816,196,160,1,1,0,3,2,1,52.4,0,0,1,109642
879,11900,60200,0.16,651,0,0,1,0,0,2,2,1,35.1,0,0,0,76500
880,16300,66800,0.16,981,0,0,1,0,0,3,3,0,98.7,0,0,1,80976
881,55500,243300,0.26,2282,800,144,3,1,1,4,3,1,3.9,672,0,0,283269
882,25900,65900,0.16,904,300,0,1,0,1,2,3,1,88.3,0,0,1,119184
883,24100,164300,0.38,1170,900,120,2,0,1,4,1,1,31.3,720,0,1,168423
884,20100,83900,0.22,1025,0,120,1,0,0,3,2,1,48.8,315,0,1,105060
885,27500,65100,0.16,1157,0,0,1,0,1,3,2,1,87.5,0,0,1,119280
886,25000,91700,0.19,820,0,0,1,0,0,2,2,1,62.4,0,0,1,136456
887,26700,94700,0.19,1034,300,264,1,1,0,3,2,1,39.4,0,0,1,140273
888,54900,307800,0.35,2252,606,759,2,2,1,3,7,1,29.6,484,0,1,320049
889,21500,78600,0.45,888,450,140,1,0,0,3,2,1,40.4,0,0,1,98286
890,32400,142200,0.23,1004,320,100,2,1,1,3,3,1,4.6,160,0,0,173521
891,24900,139400,0.24,1264,370,160,2,1,1,4,3,1,33,220,0,1,155135
892,32700,77400,0.2,960,0,0,1,0,0,3,2,1,59.4,0,0,0,114508
893,33300,80800,0.33,908,0,0,1,0,0,2,3,1,63.7,0,0,1,91580
894,9600,51000,0.12,1123,0,0,1,0,0,3,2,1,81.9,0,0,1,84932
895,14100,42600,0.15,748,0,70,1,0,0,2,2,0,96.6,0,0,1,68444
896,26900,98600,0.17,1157,144,0,1,0,1,2,3,0,70.1,0,0,1,130000
897,8100,55200,0.22,1176,0,98,1,0,0,5,4,1,79.1,0,0,1,50000
